רווחה,"משרד הרווחה משמש חולייה מרכזית בהתוויית מדיניות הרווחה בישראל והוא אחראי לקביעת הסטנדרטים של שירותי הרווחה, להערכה ומחקר של השירותים החברתיים ולתקצוב, פיקוח ובקרה של אספקת שירותי הרווחה וברשויות המקומיות, אשר באמצעותן מסופקים מרבית שירותי הרווחה."
רווחה,"משרד הרווחה משמש חולייה מרכזית בהתוויית מדיניות הרווחה בישראל והוא אחראי לקביעת הסטנדרטים של שירותי הרווחה, להערכה ומחקר של השירותים החברתיים ולתקצוב, פיקוח ובקרה של אספקת שירותי הרווחה וברשויות המקומיות, אשר באמצעותן מסופקים מרבית שירותי הרווחה."
השכלה גבוהה,"מערכת ההשכלה הגבוהה בישראל כוללת מוסדות המוכרים על ידי המועצה להשכלה גבוהה, שהסמיכה אותם להעניק תארים אקדמיים. תקצוב המוסדות נעשה באמצעות הוועדה לתכנון ולתקצוב (ות""ת) ועל ידי משרד החינוך (התומך בחלק מהמכללות לחינוך). מערכת ההשכלה הגבוהה כוללת גם מוסדות אשר אין בתקציבם השתתפות מתקציב המדינה (מוסדות חוץ-תקציביים). המוסדות להשכלה גבוהה בישראל נחלקים לשלוש קבוצות:

אוניברסיטאות העוסקות במחקר ובהוראה ומעניקות שלושה תארים אקדמיים: תואר ראשון, תואר שני ותואר שלישי.
האוניברסיטה הפתוחה המבוססת על לימוד מרחוק ועל לימודים חלקיים ומעניקה תואר אקדמי ראשון ושני.
מכללות שעיקר עיסוקן בהוראה ומעניקות תואר ראשון ושני של למודים אקדמיים כלליים או לימודים מקצועיים.
מוסדות אקדמיים להכשרת עובדי הוראה."
חינוך,"משרד החינוך אחראי להקניית ידע לילדים וזכאים לחינוך בהתאם לחוק לימוד חובה.

המשרד אחראי לקידום המצוינות, לשיפור ההישגים ולרמת האיכות החינוכית, תוך צמצום הפערים החברתיים ; ליצירת מערכת חינוך אפקטיבית ויעילה שתשרת את צורכי הפרט ואת צרכיה המשתנים של מדינת ישראל; ולקידום ערכים ציוניים, יהודיים, דמוקרטיים וחברתיים. המשרד פועל ברמה הארצית באמצעות המטרה וברמה המחוזית - באמצעות שמונה מחוזות שהם הזרוע הביצועית של מטה המשרד. משרד החינוך ממונה על מוסדות החינוך, ובכלל זה גנים, בתי ספר והחינוך הבלתי פורמאלי."
"מדע, תרבות וספורט","משרד המדע, הטכנולוגיה והחלל פועל לקביעת מדיניות ולקידום, חיזוק והקמת תשתית בתחום המדע והטכנולוגיה. המשרד פועל במטרה לקדם, להרחיב ולהעמיק את הפיתוח המדעי הטכנולוגיה והתשתיתי וכן מקדם את הפעילות המדעית של ישראל בזירה הבין-לאומית ומעודד קירוב של הקהילה למדע, בדגש על המחקר בפריפריה.

משרד התרבות והספורט פועל לקביעת מדיניות ולקידום, לחיזוק ולהקמת תשתית בשני התחומים העיקריים שבסמכותו: התרבות והספורט. בתחום התרבות - המשרד תומך במוסדות תרבות ואמנות, במפעלים ובאירועים תרבות, ביוצרים ובמבצעים, המהווים את התשתית לחיי התרבות והמנות בישראל. בתחום הספורט - המשרד פועל לקידום ולפיתוח הספורט התחרותי והעממי תוך סיוע לרשויות המקומיות, להתאחדויות ולאיגודי הספורט."
העברות לביטוח הלאומי,"הביטוח הלאומי הוא גוף סטטוטורי (גוף הפועל מכוח חוק) אשר פועל, כמשתמע משמו, כמוסד ביטוחי – תשלום שוטף בעת שגרה מבטיח קבלת ההחזרים במקרה הצורך.

פרט לקצבאות הביטוחיות שמחלק המוסד לביטוח לאומי, באחריותו גם קצבאות שאינן ביטוחיות, והכספים עבורן מגיעים ישירות מאוצר המדינה. תשלומים אלו ניתנים במקרים בהם המדינה בחרה לתגמל אוכלוסיות מסוימות למרות שלא צברו זכויות ביטוחיות, והביטוח הלאומי אינו אלא צינור להעברת כסף זה."
בריאות,"משרד הבריאות עוסק בתכנון, פיקוח, רישוי ותיאום במערכת הבריאות.

במסגרת זו המשרד אחראי לקביעת הסטנדרטים המקצועיים בכל תחומי הרפואה ולביצוע פיקוח ובקרה על קופות החולים וגופי בריאות נוספים במסגרת חוק ביטוח בריאות ממלכתי.

המשרד עוסק גם בפיקוח בתחומי המזון, הסביבה, רוקחות וטכנולוגיות רפואיות ורישוי המקצועות הרפואיים.

בנוסף, המשרד מפעיל באופן ישיר (כבעלים) מיטות אשפוז בבתי חולים כלליים ובבתי חולים פסיכיאטריים וגריאטריים (יש בתי חולים אחרים המופעלים על ידי קופות החולים או פועלים כגורפים ציבוריים עצמאיים), ומפעיל כבעלים חלק ממערכת השירותים הרפואיים המונעים, הקהילתיים והסביבתיים, לרבות תחנות בריאות המשפחה (טיפת חלב), חלוקת מכשירים שיקום וניידות ושירותי בריאות התלמיד."
בטחון פנים,"המשרד לביטחון פנים הוא גוף מטה משולב האחראי לאכיפת החוק, לשמירת הסדר הציבורי ולפעילות בתחומים השונים של ביטחון הפנים במדינת ישראל.

המשרד פועל, בין היתר, באמצעות משטרת ישראל, שירות בתי הסוהר, הרשות הלאומית לכבאות והצלה, הרשות להגנה על עדים, הרשות הלאומית למלחמה בסמים ובאלכוהול וגופים נוספים."
בטחון,"שיעור תקציב הבטחון מהתמ""ג גבוה בישראל מאשר במדינות אירופה וארה""ב, אולם הוא נמצא בתוואי יורד בשנים האחרונות, וכך גם האחוז שהוא מהווה מההוצאה הממשלתית. החל משנת 2017 הועבר כל מענק הסיוע הבטחוני האמריקאי כהוצאה המותנית כהכנסה, מה שמתבטא בצמצום תקציב הנטו של המשרד. באירועים חריגים בעבר נוספו לתקציב המשרד תוספות בגין עלויות לחימה (כמו, למשל, במלחמת לבנון השניה או מבצע ""עופרת יצוקה"")."
קרן - ביטוח לאומי,"הביטוח הלאומי צבר לאורך השנים עודפים תקציביים גדולים שמטרתם להבטיח את התשלומים העתידיים של הביטוח הלאומי. את העודפים התקציביים מפקיד המוסד במשרד האוצר ומקבל את הכסף בחזרה, בתוספת ריבית, לאחר מספר שנים. סעיף זה מציין את היקף הכספים שממשלת ישראל החזירה לביטוח הלאומי מתוך הקרן שהוא הפקיד בידיה."
