קוד רמה 1,שם רמה 1,קוד רמה 2,שם רמה 2,קוד סעיף,שם סעיף,קוד תחום,שם תחום,קוד תכנית,שם תכנית,קוד תקנה,שם תקנה,הוצאה נטו
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100101,שכר שוטף חיילי קבע,11171083
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100102,הטבות שכר נוספות לחיילים,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100103,שכר שוטף עובדי משרד הביטחון,1265398
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100104,הטבות שכר נוספות עובדי משרד הביטחון,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100105,"שכר שוטף אזרחים עובדי צה""ל",2262318
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100106,"הטבות שכר נוספות אזרחים עובדי צה""ל",794692
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100107,הוצאות בגין חיילי חובה,2448871
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100108,תגמולי מילואים,805113
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100109,תגמול מילואים מיוחד ונוסף,203334
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100110,הטבות והוצאות נוספות למילואים,37859
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100111,השתתפות במשרדי ממשלה,691895
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100113,רזרבה להתיקרויות שכר,1165061
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100114,שעות נוספות עובדי משרד,120900
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100115,כוננויות עובדי משרד,7362
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100116,חודשי עבודה עובדי משרד,36500
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100117,תקני רכב עובדי משרד,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100118,שעות העסקת סטודנטים,10099
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151001,הוצאות כח אדם,15100119,עתודה להסכם קואליציוני,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100201,גמלאות חיילים קבע,7780739
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100202,מענקי פרישה חיילי קבע,374853
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100203,היוון גמלאות חיילי קבע,23336
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100204,קצבת שארים חיילי קבע,456025
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100205,גמלאות עובדי משרד הביטחון,330264
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1510,כח אדם,151002,גמלאות,15100206,תרבות ורווחה גמלאי משרד הביטחון,853
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110101,קניות ושירותים אחרים,15953447
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110102,מעברים,321363
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110103,מכשול ומרכיביו,388404
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110104,חשמל,514790
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110105,ארנונה למעט ערי עולים,409845
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110106,הובלה שכורה ותחבורה ציבורית,1480043
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110107,הקרן לקליטת חיילים משוחררים תפעול,7414
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110108,היחידה להכוונת חיילים משוחררים,6931
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110109,קרית ההדרכה זכיין,257709
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110110,"צה""ל לנגב",552770
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110116,השתתפות במשרדי ממשלה,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110117,הוצאות ביטחון נוספות,0
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110118,רזרבה ליעדים פיסקליים,962849
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110120,"קניות בחו""ל ותשלומי מע""מ בגין ייבוא ביטחוני",2885850
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151101,הוצאות ביטחוניות,15110121,רזרבה לתקציב התאמות,436477
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151102,הרשות לפינוי שדות,15110201,תפעול ומנהל,18488
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151102,הרשות לפינוי שדות,15110202,שכר,8512
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1511,הוצאות ביטחון,151103,עתודה להסכמים,15110301,רזרבה להסכמים קואליציוניים,21000
1,בטחון וסדר ציבורי,11,בטחון,15,משרד הביטחון,1512,אגפי שיקום ומשפחות,151201,שיקום משפחות והנצחה,15120101,תגמול בסיסי,953701
